subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
7,1,259.0,129.0,204.66795366795367,228.0,216.06976744186048,228.0,193.35384615384615,221.0
109,105,69.0,35.0,382.8840579710145,281.0,285.57142857142856,281.0,483.05882352941177,271.5
105,109,69.0,34.0,382.8840579710145,281.0,483.05882352941177,271.5,285.57142857142856,281.0
80,84,184.0,92.0,276.1847826086956,247.5,206.7608695652174,213.5,345.60869565217394,276.0
84,80,184.0,92.0,276.1847826086956,247.5,345.60869565217394,276.0,206.7608695652174,213.5
3,5,134.0,67.0,345.3731343283582,351.0,379.4925373134328,333.0,311.25373134328356,422.0
5,3,134.0,67.0,345.3731343283582,351.0,311.25373134328356,422.0,379.4925373134328,333.0
90,80,187.0,94.0,30.614973262032084,104.0,25.45744680851064,74.5,35.82795698924731,120.0
80,90,187.0,93.0,30.614973262032084,104.0,35.82795698924731,120.0,25.45744680851064,74.5
11,10,212.0,106.0,281.3490566037736,269.0,269.04716981132077,263.5,293.6509433962264,277.0
10,11,212.0,106.0,281.3490566037736,269.0,293.6509433962264,277.0,269.04716981132077,263.5
81,82,186.0,93.0,280.6290322580645,244.5,318.38709677419354,271.0,242.8709677419355,231.0
82,81,186.0,93.0,280.6290322580645,244.5,242.8709677419355,231.0,318.38709677419354,271.0
69,63,96.0,48.0,381.5104166666667,435.5,517.5416666666666,582.5,245.47916666666666,280.0
63,69,96.0,48.0,381.5104166666667,435.5,245.47916666666666,280.0,517.5416666666666,582.5
25,28,155.0,78.0,57.73548387096774,183.0,22.71794871794872,144.5,93.20779220779221,248.0
28,25,155.0,77.0,57.73548387096774,183.0,93.20779220779221,248.0,22.71794871794872,144.5
100,104,195.0,98.0,105.7948717948718,161.0,78.13265306122449,162.0,133.7422680412371,147.0
104,100,195.0,97.0,105.7948717948718,161.0,133.7422680412371,147.0,78.13265306122449,162.0
110,100,244.0,121.0,108.24180327868852,137.0,55.16528925619835,97.0,160.45528455284554,152.0
100,110,244.0,123.0,108.24180327868852,137.0,160.45528455284554,152.0,55.16528925619835,97.0
104,110,240.0,121.0,281.12916666666666,218.5,304.74380165289256,210.0,257.11764705882354,236.0
110,104,240.0,119.0,281.12916666666666,218.5,257.11764705882354,236.0,304.74380165289256,210.0
45,44,167.0,84.0,249.2574850299401,240.0,294.3452380952381,239.5,203.6265060240964,242.0
44,45,167.0,83.0,249.2574850299401,240.0,203.6265060240964,242.0,294.3452380952381,239.5
100,105,128.0,64.0,293.71875,288.0,306.984375,286.0,280.453125,288.0
105,100,128.0,64.0,293.71875,288.0,280.453125,288.0,306.984375,286.0
64,61,192.0,97.0,44.583333333333336,113.0,-23.391752577319586,71.0,113.98947368421052,224.0
61,64,192.0,95.0,44.583333333333336,113.0,113.98947368421052,224.0,-23.391752577319586,71.0
80,82,192.0,93.0,139.00520833333334,134.0,203.4731182795699,223.0,78.44444444444444,53.0
82,80,192.0,99.0,139.00520833333334,134.0,78.44444444444444,53.0,203.4731182795699,223.0
4,3,146.0,73.0,134.72602739726028,161.0,186.02739726027397,222.0,83.42465753424658,117.0
3,4,146.0,73.0,134.72602739726028,161.0,83.42465753424658,117.0,186.02739726027397,222.0
80,85,215.0,108.0,206.2046511627907,210.0,143.59259259259258,177.0,269.4018691588785,254.0
85,80,215.0,107.0,206.2046511627907,210.0,269.4018691588785,254.0,143.59259259259258,177.0
108,103,188.0,95.0,259.6914893617021,228.5,210.3578947368421,229.0,310.0860215053763,226.0
103,108,188.0,93.0,259.6914893617021,228.5,310.0860215053763,226.0,210.3578947368421,229.0
41,47,53.0,26.0,177.62264150943398,266.0,83.0,88.0,268.74074074074076,330.0
47,41,53.0,27.0,177.62264150943398,266.0,268.74074074074076,330.0,83.0,88.0
20,25,244.0,123.0,-56.56967213114754,52.0,-110.15447154471545,0.0,-2.0991735537190084,109.0
25,20,244.0,121.0,-56.56967213114754,52.0,-2.0991735537190084,109.0,-110.15447154471545,0.0
1,6,183.0,91.0,63.73224043715847,171.0,88.17582417582418,189.0,39.55434782608695,126.5
6,1,183.0,92.0,63.73224043715847,171.0,39.55434782608695,126.5,88.17582417582418,189.0
64,66,88.0,44.0,-31.03409090909091,162.0,-140.29545454545453,14.5,78.22727272727273,264.0
66,64,88.0,44.0,-31.03409090909091,162.0,78.22727272727273,264.0,-140.29545454545453,14.5
68,63,130.0,65.0,183.91538461538462,253.0,79.86153846153846,225.0,287.96923076923076,289.0
63,68,130.0,65.0,183.91538461538462,253.0,287.96923076923076,289.0,79.86153846153846,225.0
82,90,200.0,100.0,92.175,126.5,85.05,116.0,99.3,139.0
90,82,200.0,100.0,92.175,126.5,99.3,139.0,85.05,116.0
1,4,213.0,107.0,62.54929577464789,159.0,-12.289719626168225,86.0,138.0943396226415,202.5
4,1,213.0,106.0,62.54929577464789,159.0,138.0943396226415,202.5,-12.289719626168225,86.0
47,43,73.0,37.0,581.3287671232877,479.0,659.3783783783783,487.0,501.1111111111111,415.5
43,47,73.0,36.0,581.3287671232877,479.0,501.1111111111111,415.5,659.3783783783783,487.0
46,49,157.0,79.0,51.33757961783439,190.0,50.58227848101266,187.0,52.1025641025641,208.0
49,46,157.0,78.0,51.33757961783439,190.0,52.1025641025641,208.0,50.58227848101266,187.0
87,80,193.0,96.0,48.67357512953368,104.0,62.25,154.5,35.23711340206186,24.0
80,87,193.0,97.0,48.67357512953368,104.0,35.23711340206186,24.0,62.25,154.5
22,30,213.0,107.0,-66.52112676056338,47.0,-11.299065420560748,47.0,-122.26415094339623,35.0
30,22,213.0,106.0,-66.52112676056338,47.0,-122.26415094339623,35.0,-11.299065420560748,47.0
109,110,163.0,82.0,92.71779141104294,97.0,118.54878048780488,103.5,66.5679012345679,90.0
110,109,163.0,81.0,92.71779141104294,97.0,66.5679012345679,90.0,118.54878048780488,103.5
102,101,216.0,108.0,314.5046296296296,311.0,295.6388888888889,290.0,333.3703703703704,322.5
101,102,216.0,108.0,314.5046296296296,311.0,333.3703703703704,322.5,295.6388888888889,290.0
7,2,149.0,75.0,152.21476510067114,219.0,95.85333333333334,195.0,209.33783783783784,285.5
2,7,149.0,74.0,152.21476510067114,219.0,209.33783783783784,285.5,95.85333333333334,195.0
64,63,131.0,66.0,225.50381679389312,304.0,178.12121212121212,205.0,273.61538461538464,335.0
63,64,131.0,65.0,225.50381679389312,304.0,273.61538461538464,335.0,178.12121212121212,205.0
107,110,173.0,88.0,48.73988439306358,78.0,-7.795454545454546,88.0,107.27058823529411,56.0
110,107,173.0,85.0,48.73988439306358,78.0,107.27058823529411,56.0,-7.795454545454546,88.0
46,45,123.0,62.0,372.1626016260163,325.0,459.93548387096774,398.5,282.95081967213116,280.0
45,46,123.0,61.0,372.1626016260163,325.0,282.95081967213116,280.0,459.93548387096774,398.5
107,100,125.0,63.0,39.16,81.0,57.44444444444444,77.0,20.580645161290324,105.5
100,107,125.0,62.0,39.16,81.0,20.580645161290324,105.5,57.44444444444444,77.0
8,11,225.0,113.0,55.51111111111111,126.0,131.38938053097345,160.0,-21.044642857142858,55.5
11,8,225.0,112.0,55.51111111111111,126.0,-21.044642857142858,55.5,131.38938053097345,160.0
8,10,179.0,90.0,101.43016759776536,181.0,125.92222222222222,197.5,76.66292134831461,146.0
10,8,179.0,89.0,101.43016759776536,181.0,76.66292134831461,146.0,125.92222222222222,197.5
100,106,131.0,66.0,493.80152671755724,374.0,337.1969696969697,222.5,652.8153846153846,442.0
106,100,131.0,65.0,493.80152671755724,374.0,652.8153846153846,442.0,337.1969696969697,222.5
110,106,154.0,78.0,557.7987012987013,413.0,451.65384615384613,322.5,666.7368421052631,541.0
106,110,154.0,76.0,557.7987012987013,413.0,666.7368421052631,541.0,451.65384615384613,322.5
45,47,63.0,32.0,269.46031746031747,274.0,202.625,230.0,338.4516129032258,291.0
47,45,63.0,31.0,269.46031746031747,274.0,338.4516129032258,291.0,202.625,230.0
62,64,119.0,60.0,265.5042016806723,248.0,177.08333333333334,162.5,355.4237288135593,282.0
64,62,119.0,59.0,265.5042016806723,248.0,355.4237288135593,282.0,177.08333333333334,162.5
22,23,221.0,111.0,48.92760180995475,98.0,-18.64864864864865,74.0,117.11818181818182,134.5
23,22,221.0,110.0,48.92760180995475,98.0,117.11818181818182,134.5,-18.64864864864865,74.0
82,83,136.0,68.0,254.06617647058823,222.0,157.27941176470588,119.0,350.8529411764706,334.5
83,82,136.0,68.0,254.06617647058823,222.0,350.8529411764706,334.5,157.27941176470588,119.0
3,7,160.0,80.0,291.75,253.0,237.95,210.0,345.55,292.0
7,3,160.0,80.0,291.75,253.0,345.55,292.0,237.95,210.0
86,80,126.0,64.0,202.73809523809524,254.0,249.890625,301.5,154.06451612903226,177.5
80,86,126.0,62.0,202.73809523809524,254.0,154.06451612903226,177.5,249.890625,301.5
47,42,47.0,23.0,350.9148936170213,248.0,283.7391304347826,200.0,415.2916666666667,287.0
42,47,47.0,24.0,350.9148936170213,248.0,415.2916666666667,287.0,283.7391304347826,200.0
108,100,243.0,122.0,41.90534979423868,119.0,63.967213114754095,102.0,19.66115702479339,125.0
100,108,243.0,121.0,41.90534979423868,119.0,19.66115702479339,125.0,63.967213114754095,102.0
67,66,148.0,74.0,27.263513513513512,136.0,-94.72972972972973,74.0,149.25675675675674,236.0
66,67,148.0,74.0,27.263513513513512,136.0,149.25675675675674,236.0,-94.72972972972973,74.0
1,5,131.0,67.0,249.08396946564886,251.0,218.22388059701493,201.0,281.390625,305.5
5,1,131.0,64.0,249.08396946564886,251.0,281.390625,305.5,218.22388059701493,201.0
20,26,236.0,118.0,206.9322033898305,181.0,102.2457627118644,112.5,311.6186440677966,250.5
26,20,236.0,118.0,206.9322033898305,181.0,311.6186440677966,250.5,102.2457627118644,112.5
90,83,165.0,83.0,108.3030303030303,160.0,31.650602409638555,131.0,185.890243902439,198.0
83,90,165.0,82.0,108.3030303030303,160.0,185.890243902439,198.0,31.650602409638555,131.0
1,8,223.0,111.0,199.07174887892376,213.0,219.53153153153153,195.0,178.79464285714286,219.0
8,1,223.0,112.0,199.07174887892376,213.0,178.79464285714286,219.0,219.53153153153153,195.0
40,46,154.0,77.0,535.6948051948052,443.5,513.1818181818181,474.0,558.2077922077922,424.0
46,40,154.0,77.0,535.6948051948052,443.5,558.2077922077922,424.0,513.1818181818181,474.0
106,105,209.0,106.0,513.311004784689,335.0,595.7452830188679,450.0,428.4757281553398,210.0
105,106,209.0,103.0,513.311004784689,335.0,428.4757281553398,210.0,595.7452830188679,450.0
89,87,121.0,61.0,95.41322314049587,159.0,169.55737704918033,160.0,20.033333333333335,155.0
87,89,121.0,60.0,95.41322314049587,159.0,20.033333333333335,155.0,169.55737704918033,160.0
87,82,199.0,100.0,130.79899497487438,175.0,174.31,206.0,86.84848484848484,144.0
82,87,199.0,99.0,130.79899497487438,175.0,86.84848484848484,144.0,174.31,206.0
11,7,213.0,106.0,253.03755868544602,240.0,260.99056603773585,232.5,245.15887850467288,259.0
7,11,213.0,107.0,253.03755868544602,240.0,245.15887850467288,259.0,260.99056603773585,232.5
43,50,199.0,100.0,292.26633165829145,315.0,225.22,280.0,359.989898989899,359.0
