condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,C,26,79,74,29.728,42.231,43.476,6,
long,C,27,56,60,5.703,35.82,38.176,8,
long,C,28,69,48,18.123,20.518,28.855,2,
long,C,31,73,75,7.168,9.936,19.468,3,They are friends 
long,C,33,66,54,8.205,10.659,38.397,3,
long,C,36,65,72,28.603,30.89,40.473,2,
long,C,37,62,83,18.714,24.201,42.935,3,
long,C,38,92,94,14.479,33.127,41.492,5,
long,C,39,100,100,8.801,31.908,44.752,2,
long,C,40,76,66,40.041,43.905,51.99,4,good
long,C,49,86,97,33.85,37.482,51.312,3,NICE AUDIO CLIPS.
long,C,54,91,92,16.988,30.816,41.88,4,no
long,C,65,84,72,12.495,70.169,90.141,5,
long,C,67,99,95,19.535,21.211,39.841,2,
long,C,68,52,54,45.053,48.947,51.334,3,none
long,C,69,74,88,2.346,3.656,4.291,5,
long,C,70,56,57,16.066,40.46,41.068,3,
long,C,74,68,81,34.058,36.729,58.409,3,ENJOY
long,C,75,74,79,8.842,15.694,77.299,3,
long,C,81,97,92,32.883,39.621,40.849,5,
long,C,83,95,97,41.295,49.541,51.278,4,
long,C,84,75,81,88.539,90.3,91.544,2,
long,C,85,63,78,21.276,46.268,47.865,3,
long,C,86,80,84,30.204,33.081,53.786,3,it is useful think
long,C,87,78,92,74.083,77.035,79.618,4,no
long,C,91,75,79,8.515,11.915,31.226,2,
long,C,98,71,64,18.92,26.472,29.676,3,nice
long,C,103,77,87,10.996,31.787,49.288,8,"Good back and forth, easy flow"
long,C,120,78,77,13.7,15.889,57.545,3,nice think
long,C,122,72,69,47.527,51.502,52.784,4,
long,C,123,95,87,7.313,45.013,52.67,5,bold voice
long,C,124,39,38,30.462,47.359,48.678,6,no
long,C,126,82,80,13.323,44.243,63.377,3,very fluid both seem to actually care for each others statements. 
long,C,127,86,91,20.362,24.84,49.223,2,
long,C,129,88,69,1.518,6.861,26.639,10,
long,C,130,79,95,6.16,33.023,49.818,4,good
long,C,135,60,41,45.148,49.687,50.735,3,
long,C,136,86,73,5.989,39.04,40.886,6,
long,C,138,84,84,21.057,29.441,46.951,3,
long,C,139,100,100,15.123,19.552,23.628,4,GOOD
long,C,141,97,88,40.89,46.973,50.077,3,none
long,C,142,100,100,43.512,47.151,48.425,3,
long,C,143,87,80,24.395,28.762,57.138,3,GOOD
long,C,145,65,90,12.727,36.764,38.679,3,
long,C,150,81,83,6.147,39.747,40.833,5,
long,C,154,89,96,8.417,13.76,21.425,6,no comments
long,C,157,83,77,23.451,24.793,38.125,2,
long,C,161,99,100,6.637,7.965,8.767,2,
long,C,164,91,72,29.622,35.077,37.547,4,
long,C,166,77,90,70.842,73.268,117.386,2,
long,C,170,57,82,61.412,65.126,65.983,4,
long,C,175,60,58,63.999,67.967,69.844,4,
long,C,177,77,77,25.978,44.885,46.194,9,
long,C,178,76,74,17.618,23.554,38.462,4,
long,C,184,39,49,11.753,20.177,41.804,3,
long,C,186,82,78,1.2,31.702,36.046,8,
long,C,190,76,62,53.948,56.839,59.114,4,
long,C,194,78,78,67.35,69.23,70.269,2,
long,C,203,71,67,40.863,46.372,48.507,2,
long,C,204,78,95,5.488,19.532,58.258,5,very nice talk this lady voice. very nice.
long,C,208,62,58,39.37,43.777,45.39,2,
long,C,209,85,88,39.037,43.217,43.818,3,
long,C,215,90,90,46.193,49.272,59.556,3,like this audio 
long,C,216,85,72,44.547,46.106,55.426,3,clear audio
long,C,218,92,93,22.233,46.252,47.888,4,
long,C,219,61,55,26.269,29.848,46.434,2,
long,C,222,43,55,43.735,47.831,51.909,2,
long,C,223,95,85,48.638,52.223,59.149,3,Pleasant
long,C,225,82,100,43.164,47.272,47.858,5,
long,C,230,50,50,11.608,35.397,39.544,6,
long,C,232,81,73,6.788,9.268,10.683,2,
